r,V
0.05,868486.8489565382
0.1,788741.871692084
0.15000000000000002,729047.947711474
0.2,687204.9757900353
0.25,655397.0883639025
0.3,630869.6672238013
0.35000000000000003,608346.9678458013
0.4,588931.542291644
0.45,572313.0204852168
0.5,557555.2047327148
0.55,543757.5263957881
0.6000000000000001,531181.2466374167
0.6500000000000001,519493.075361846
0.7000000000000001,508273.75121943094
0.7500000000000001,497750.1938603385
0.8,487731.9121650623
0.8500000000000001,477975.21109022084
0.9000000000000001,468550.127132067
